id,name,tags,mask_path,directory_name,mask_name
SPDUYNYkcMerytw36BBD,22623336813_9e0c777372_k.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/22623336813_9e0c777372_k_jpg.rf.7d300ad3c56ee4ffaf139e2c98884df2_annotated_annotated.png,22623336813_9e0c777372_k_jpg.rf.7d300ad3c56ee4ffaf139e2c98884df2.jpg,22623336813_9e0c777372_k_jpg.rf.7d300ad3c56ee4ffaf139e2c98884df2_mask_mask.png
SPDUYNYkcMerytw36BBD,22623336813_9e0c777372_k.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/22623336813_9e0c777372_k_jpg.rf.7d300ad3c56ee4ffaf139e2c98884df2_annotated_annotated.png,22623336813_9e0c777372_k_jpg.rf.7d300ad3c56ee4ffaf139e2c98884df2.jpg,22623336813_9e0c777372_k_jpg.rf.7d300ad3c56ee4ffaf139e2c98884df2_annotated_annotated.png
bd7jkwLDhcpeYm9WE9Iz,21401250122_89990cc99d_k.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/21401250122_89990cc99d_k_jpg.rf.b02f69299d0d85741559243c2d27c86f_annotated_annotated.png,21401250122_89990cc99d_k_jpg.rf.b02f69299d0d85741559243c2d27c86f.jpg,21401250122_89990cc99d_k_jpg.rf.b02f69299d0d85741559243c2d27c86f_mask_mask.png
bd7jkwLDhcpeYm9WE9Iz,21401250122_89990cc99d_k.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/21401250122_89990cc99d_k_jpg.rf.b02f69299d0d85741559243c2d27c86f_annotated_annotated.png,21401250122_89990cc99d_k_jpg.rf.b02f69299d0d85741559243c2d27c86f.jpg,21401250122_89990cc99d_k_jpg.rf.b02f69299d0d85741559243c2d27c86f_annotated_annotated.png
5mJqH38m472PJi1mazmJ,20971681322_2dfa3f6c4d_k.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/20971681322_2dfa3f6c4d_k_jpg.rf.b0f3fbc84fee07b0cdcbfc1fd009ba9d_annotated_annotated.png,20971681322_2dfa3f6c4d_k_jpg.rf.b0f3fbc84fee07b0cdcbfc1fd009ba9d.jpg,20971681322_2dfa3f6c4d_k_jpg.rf.b0f3fbc84fee07b0cdcbfc1fd009ba9d_mask_mask.png
5mJqH38m472PJi1mazmJ,20971681322_2dfa3f6c4d_k.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/20971681322_2dfa3f6c4d_k_jpg.rf.b0f3fbc84fee07b0cdcbfc1fd009ba9d_annotated_annotated.png,20971681322_2dfa3f6c4d_k_jpg.rf.b0f3fbc84fee07b0cdcbfc1fd009ba9d.jpg,20971681322_2dfa3f6c4d_k_jpg.rf.b0f3fbc84fee07b0cdcbfc1fd009ba9d_annotated_annotated.png
mT9mSikVTXVqpAHkMZNi,9476979502_92bdff8af8_h.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/9476979502_92bdff8af8_h_jpg.rf.775ee91522505e19bcb7a22f97b91137_annotated_annotated.png,9476979502_92bdff8af8_h_jpg.rf.144d9a30013523712f9d16e4dd8c0bb7.jpg,9476979502_92bdff8af8_h_jpg.rf.144d9a30013523712f9d16e4dd8c0bb7_mask_mask.png
mT9mSikVTXVqpAHkMZNi,9476979502_92bdff8af8_h.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/9476979502_92bdff8af8_h_jpg.rf.775ee91522505e19bcb7a22f97b91137_annotated_annotated.png,9476979502_92bdff8af8_h_jpg.rf.144d9a30013523712f9d16e4dd8c0bb7.jpg,9476979502_92bdff8af8_h_jpg.rf.144d9a30013523712f9d16e4dd8c0bb7_annotated_annotated.png
mT9mSikVTXVqpAHkMZNi,9476979502_92bdff8af8_h.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/9476979502_92bdff8af8_h_jpg.rf.775ee91522505e19bcb7a22f97b91137_annotated_annotated.png,9476979502_92bdff8af8_h_jpg.rf.775ee91522505e19bcb7a22f97b91137.jpg,9476979502_92bdff8af8_h_jpg.rf.775ee91522505e19bcb7a22f97b91137_mask_mask.png
mT9mSikVTXVqpAHkMZNi,9476979502_92bdff8af8_h.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/9476979502_92bdff8af8_h_jpg.rf.775ee91522505e19bcb7a22f97b91137_annotated_annotated.png,9476979502_92bdff8af8_h_jpg.rf.775ee91522505e19bcb7a22f97b91137.jpg,9476979502_92bdff8af8_h_jpg.rf.775ee91522505e19bcb7a22f97b91137_annotated_annotated.png
cwD7GuW7HHifMsSObA4I,9474191731_957583abb8_h.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/9474191731_957583abb8_h_jpg.rf.3ae6bbbbe017b1a51a778faed9aca8c1_annotated_annotated.png,9474191731_957583abb8_h_jpg.rf.3ae6bbbbe017b1a51a778faed9aca8c1.jpg,9474191731_957583abb8_h_jpg.rf.3ae6bbbbe017b1a51a778faed9aca8c1_mask_mask.png
cwD7GuW7HHifMsSObA4I,9474191731_957583abb8_h.jpg,['L84'],/Users/jacquelinehui/Desktop/cs/Projects/orca-id/orca--2/masks/9474191731_957583abb8_h_jpg.rf.3ae6bbbbe017b1a51a778faed9aca8c1_annotated_annotated.png,9474191731_957583abb8_h_jpg.rf.3ae6bbbbe017b1a51a778faed9aca8c1.jpg,9474191731_957583abb8_h_jpg.rf.3ae6bbbbe017b1a51a778faed9aca8c1_annotated_annotated.png
